"id","mp_name","party","rebellions","attended","possible","percent"
17568,"Сергій Березенко","Блок Петра Порошенка",2479,8296,9357,30
17650,"Олександр Шевченко","Позафракційні",2987,10095,11746,30
17946,"Тетяна Чорновол","Народний фронт",2359,11059,11746,21
17947,"Андрій Тетерук","Народний фронт",1978,10704,11746,18
17948,"Вікторія Сюмар","Народний фронт",2405,10444,11746,23
17949,"Юрій Береза","Народний фронт",2728,10904,11746,25
17950,"Дмитро Тимчук","Народний фронт",1628,9834,11746,17
17952,"Антон Геращенко","Народний фронт",2800,9496,11746,29
17953,"Костянтин Матейченко","Народний фронт",2744,10285,11746,27
17954,"Вадим Сидорчук","Народний фронт",1319,10001,11746,13
17955,"Роман Заставний","Народний фронт",2178,10781,11746,20
17956,"Євген Дейдей","Народний фронт",1742,4786,11746,36
17957,"Олександр Ксенжук","Народний фронт",1530,8776,11746,17
17958,"Георгій Логвинський","Народний фронт",1763,7170,11746,25
17959,"Віктор Єленський","Народний фронт",1379,10631,11746,13
17960,"Максим Поляков","Народний фронт",2864,8573,11746,33
17961,"Микола Величкович","Народний фронт",2920,11614,11746,25
17962,"Олександр Горбунов","Народний фронт",1337,10972,11746,12
17963,"Сергій Висоцький","Народний фронт",950,8818,11746,11
17965,"Ігор Котвіцький","Народний фронт",3450,9174,11746,38
17966,"Олена Масоріна","Народний фронт",1339,10642,11746,13
17967,"Наталія Кацер-Бучковська","Народний фронт",2326,8822,11746,26
17968,"Володимир Соляр","Народний фронт",2293,10235,11746,22
17969,"Тарас Кремінь","Народний фронт",1562,11268,11746,14
17970,"Вадим Кривенко","Народний фронт",1148,11423,11746,10
17972,"Ольга Богомолець","Блок Петра Порошенка",2753,7841,11746,35
17974,"Юлій Мамчур","Блок Петра Порошенка",2621,10545,11746,25
17976,"Світлана Заліщук","Блок Петра Порошенка",3543,10701,11746,33
17977,"Сергій Лещенко","Блок Петра Порошенка",3668,10261,11746,36
17978,"Мустафа-Масі Найєм","Блок Петра Порошенка",3354,10385,11746,32
17979,"Олександр Черненко","Блок Петра Порошенка",2133,10936,11746,20
17980,"Ніна Южаніна","Блок Петра Порошенка",2164,10137,11746,21
17981,"Ігор Кононенко","Блок Петра Порошенка",2644,9713,11746,27
17982,"Богдан Онуфрик","Блок Петра Порошенка",2399,10785,11746,22
17983,"Андрій Антонищак","Блок Петра Порошенка",3113,8372,11746,37
17984,"Олексій Гончаренко","Блок Петра Порошенка",2450,10481,11746,23
17985,"Артур Герасимов","Блок Петра Порошенка",2269,10294,11746,22
17986,"Вадим Денисенко","Блок Петра Порошенка",2393,10804,11746,22
17987,"Сергій Тригубенко","Блок Петра Порошенка",3857,8322,11746,46
17989,"Ольга Червакова","Блок Петра Порошенка",2362,11247,11746,21
17990,"Михайло Кобцев","Блок Петра Порошенка",2804,9779,11746,29
17991,"Гліб Загорій","Блок Петра Порошенка",3638,10142,11746,36
17993,"Сергій Алєксєєв","Блок Петра Порошенка",2573,11267,11746,23
17994,"Олександр Бакуменко","Блок Петра Порошенка",3111,11500,11746,27
17995,"Олександр Грановський","Блок Петра Порошенка",3184,7925,11746,40
17996,"Олексій Мушак","Блок Петра Порошенка",2913,10248,11746,28
17998,"Василь Брензович","Блок Петра Порошенка",3619,8762,11746,41
17999,"Сергій Кудлаєнко","Блок Петра Порошенка",1813,9860,11746,18
18002,"Ганна Гопко","Позафракційні",2673,10225,11746,26
18003,"Семен Семенченко","Об’єднання ""Самопоміч""",1367,4738,11746,29
18004,"Олексій Скрипник","Об’єднання ""Самопоміч""",3060,9734,11746,31
18005,"Віктор Кривенко","Блок Петра Порошенка",2358,9647,13853,24
18006,"Павло Кишкар","Блок Петра Порошенка",3205,10483,13853,31
18007,"Альона Бабак","Об’єднання ""Самопоміч""",1458,9054,11746,16
18008,"Наталія Веселова","Позафракційні",1997,9918,11746,20
18009,"Олександр Данченко","Об’єднання ""Самопоміч""",1666,9116,11746,18
18010,"Олена Сотник","Об’єднання ""Самопоміч""",1601,8603,11746,19
18011,"Олег Лаврик","Об’єднання ""Самопоміч""",1607,9893,11746,16
18012,"Єгор Соболєв","Об’єднання ""Самопоміч""",2275,11256,11746,20
18013,"Ярослав Маркевич","Об’єднання ""Самопоміч""",1710,10552,11746,16
18014,"Іван Мірошніченко","Об’єднання ""Самопоміч""",1724,9857,11746,17
18015,"Андрій Журжій","Об’єднання ""Самопоміч""",3540,9733,11746,36
18016,"Остап Єднак","Позафракційні",3073,11237,11746,27
18017,"Ігор Діденко","Об’єднання ""Самопоміч""",2384,9679,11746,25
18018,"Тетяна Острікова","Об’єднання ""Самопоміч""",3384,9935,11746,34
18019,"Олександр Опанасенко","Об’єднання ""Самопоміч""",1744,11102,11746,16
18020,"Руслан Сидорович","Об’єднання ""Самопоміч""",2937,10422,11746,28
18021,"Вікторія Войціцька","Об’єднання ""Самопоміч""",2272,9416,11746,24
18022,"Вікторія Пташник","Позафракційні",3760,10196,11746,37
18024,"Ірина Сисоєнко","Об’єднання ""Самопоміч""",2109,8636,11746,24
18025,"Лев Підлісецький","Об’єднання ""Самопоміч""",1508,10624,11746,14
18026,"Роман Семенуха","Об’єднання ""Самопоміч""",1178,10824,11746,11
18027,"Олег Березюк","Об’єднання ""Самопоміч""",1855,10581,11746,18
18028,"Павло Костенко","Об’єднання ""Самопоміч""",1028,6304,11746,16
18029,"Анна Романова","Об’єднання ""Самопоміч""",2002,10152,11746,20
18031,"Сергій Кіраль","Об’єднання ""Самопоміч""",1060,8038,11746,13
18032,"Вадим Рабінович","Опозиційний блок",397,2923,11746,14
18033,"Микола Скорик","Опозиційний блок",1191,3621,11746,33
18034,"Тарас Козак","Опозиційний блок",1898,9989,11746,19
18036,"Володимир Гусак","Опозиційний блок",2589,9601,11746,27
18037,"Василь Німченко","Опозиційний блок",2959,10185,11746,29
18039,"Сергій Мельничук","Позафракційні",3404,7565,11816,45
18041,"Юрій-Богдан Шухевич","Радикальна партія Олега Ляшка",1611,6590,11746,24
18042,"Ігор Попов","Радикальна партія Олега Ляшка",552,9230,11746,6
18043,"Артем Вітко","Позафракційні",3413,10651,11746,32
18045,"Ігор Мосійчук","Радикальна партія Олега Ляшка",1189,8300,11746,14
18046,"Віктор Галасюк","Радикальна партія Олега Ляшка",1090,9931,11746,11
18047,"Денис Силантьєв","Радикальна партія Олега Ляшка",769,11100,11746,7
18048,"Альона Кошелєва","Радикальна партія Олега Ляшка",496,10371,11746,5
18050,"Олег Купрієнко","Радикальна партія Олега Ляшка",1039,9882,11746,11
18051,"Сергій Скуратовський","Радикальна партія Олега Ляшка",1159,8942,11746,13
18052,"Дмитро Лінько","Радикальна партія Олега Ляшка",908,10300,11746,9
18053,"Сергій Рибалка","Радикальна партія Олега Ляшка",1089,8991,11746,12
18054,"Ігор Луценко","ВО ""Батьківщина""",1436,6243,11746,23
18055,"Вадим Івченко","ВО ""Батьківщина""",1563,9540,11746,16
18056,"Олексій Рябчин","ВО ""Батьківщина""",1666,9191,11746,18
18058,"Володимир Арешонков","Блок Петра Порошенка",2492,11507,11746,22
18059,"Ігор Артюшенко","Блок Петра Порошенка",2384,11607,11746,21
18060,"Євген Бакулін","Опозиційний блок",382,2262,11746,17
18061,"Іван Балога","Позафракційні",2835,6554,11746,43
18062,"Олег Барна","Блок Петра Порошенка",2859,11427,12379,25
18063,"Тарас Батенко","Позафракційні",2475,8652,11746,29
18064,"Борислав Береза","Позафракційні",2822,5844,11746,48
18065,"Андрій Білецький","Позафракційні",165,398,11746,41
18066,"Михайло Бондар","Народний фронт",3192,11571,11746,28
18067,"Андрій Вадатурський","Блок Петра Порошенка",3664,10958,11746,33
18068,"Сергій Валентиров","Блок Петра Порошенка",2343,10521,11746,22
18069,"Іван Вінник","Блок Петра Порошенка",2446,10525,11746,23
18070,"Михайло Гаврилюк","Народний фронт",782,11037,11746,7
18071,"Андрій Гальченко","Опозиційний блок",4774,10053,11746,47
18074,"Дмитро Голубов","Блок Петра Порошенка",4475,9137,11746,49
18075,"Роберт Горват","Блок Петра Порошенка",2241,11133,11746,20
18077,"Віталій Гудзенко","Блок Петра Порошенка",4185,10557,11746,40
18078,"Василь Гуляєв","група ""Партія ""Відродження""",6232,9895,11783,63
18079,"Валерій Давиденко","Блок Петра Порошенка",3893,10312,11746,38
18080,"Руслан Демчак","Блок Петра Порошенка",3319,11297,11746,29
18081,"Андрій Денисенко","Позафракційні",1809,4243,11746,43
18082,"Павло Дзюблик","Народний фронт",1500,10949,11746,14
18083,"Валентин Дідич","Позафракційні",3048,9368,11746,33
18084,"Олег Дмитренко","Блок Петра Порошенка",3642,11507,11746,32
18085,"Дмитро Добродомов","Позафракційні",3489,10088,11746,35
18086,"Олесь Довгий","група ""Воля народу""",1644,7448,11746,22
18087,"Олександр Дубінін","Позафракційні",2756,7646,11746,36
18088,"Богдан Дубневич","Блок Петра Порошенка",2544,10405,11746,24
18089,"Анатолій Євлахов","Блок Петра Порошенка",2802,10273,11746,27
18090,"Максим Єфімов","Блок Петра Порошенка",2725,9545,11746,29
18091,"Олександр Жолобецький","Блок Петра Порошенка",3188,10773,11746,30
18092,"Костянтин Іщейкін","Блок Петра Порошенка",2288,11467,11746,20
18093,"Олександр Кірш","Народний фронт",1456,11320,11746,13
18094,"Андрій Кіт","Блок Петра Порошенка",3136,10193,11746,31
18095,"Борис Козир","Блок Петра Порошенка",2751,11145,11746,25
18096,"Вячеслав Константіновський","Позафракційні",2251,6269,11746,36
18097,"Аркадій Корнацький","Блок Петра Порошенка",4496,8693,11746,52
18107,"Вадим Кривохатько","Блок Петра Порошенка",2449,5468,11746,45
18108,"Олег Кришин","Народний фронт",2558,10009,11746,26
18109,"Анатолій Кузьменко","Блок Петра Порошенка",2914,9638,11746,30
18110,"Іван Куліченко","Блок Петра Порошенка",2572,10657,11746,24
18111,"Віталій Купрій","Позафракційні",3369,8147,11746,41
18112,"Микола Кучер","Блок Петра Порошенка",3025,11285,11746,27
18113,"Микола Лаврик","Блок Петра Порошенка",2214,11351,11746,20
18114,"Ігор Лапін","Народний фронт",1589,10228,11746,16
18115,"Олександр Лівік","Блок Петра Порошенка",3374,11061,11746,31
18116,"Дмитро Лубінець","Блок Петра Порошенка",2629,10924,11746,24
18117,"Микола Люшняк","Блок Петра Порошенка",2673,11302,11746,24
18118,"Олександр Марченко","Позафракційні",3332,9485,11746,35
18119,"Богдан Матківський","Блок Петра Порошенка",3777,10523,11746,36
18120,"Роман Мацола","Блок Петра Порошенка",2827,11158,11746,25
18121,"Іван Мельничук","Блок Петра Порошенка",2386,11673,11746,20
18122,"Олег Недава","Блок Петра Порошенка",2124,9319,11746,23
18123,"Вадим Нестеренко","Блок Петра Порошенка",2068,4365,11746,47
18124,"Володимир Парасюк","Позафракційні",1120,3970,11746,28
18125,"Тарас Пастух","Об’єднання ""Самопоміч""",1190,9815,11746,12
18126,"Олег Петренко","Позафракційні",2347,9332,11746,25
18127,"Ірина Подоляк","Об’єднання ""Самопоміч""",2228,10567,11746,21
18128,"Олексій Порошенко","Блок Петра Порошенка",2211,11063,11746,20
18129,"Андрій Река","Народний фронт",2156,11275,11746,19
18130,"Євген Рибчинський","група ""Воля народу""",3180,9320,11784,34
18131,"Борислав Розенблат","Позафракційні",2091,11444,11746,18
18132,"Віктор Романюк","Народний фронт",2429,9887,11746,25
18133,"Сергій Сажко","Опозиційний блок",5076,10274,11746,49
18134,"Юрій Соловей","Блок Петра Порошенка",3741,11048,11746,34
18135,"Юрій Солод","Опозиційний блок",1046,8340,11746,13
18136,"Олександр Співаковський","Блок Петра Порошенка",2847,11438,11746,25
18137,"Іван Спориш","Блок Петра Порошенка",3039,11736,11746,26
18138,"Віталій Сташук","Народний фронт",3326,11334,11746,29
18139,"Олександр Сугоняко","Блок Петра Порошенка",3044,10500,11746,29
18140,"Сергій Тарута","Позафракційні",3238,7538,11746,43
18141,"Юрій Тимошенко","Народний фронт",2741,10294,11746,27
18142,"Григорій Тіміш","Блок Петра Порошенка",2580,11459,11746,23
18143,"Олександр Урбанський","Блок Петра Порошенка",2600,10377,11746,25
18144,"Костянтин Усов","Блок Петра Порошенка",3063,7273,11746,42
18146,"Микола Фролов","Блок Петра Порошенка",2634,10742,11746,25
18147,"Сергій Хлань","Блок Петра Порошенка",3399,11280,11746,30
18148,"Тарас Юрик","Блок Петра Порошенка",2739,11573,11746,24
18149,"Оксана Юринець","Блок Петра Порошенка",3200,9785,11746,33
18150,"Петро Юрчишин","Блок Петра Порошенка",3653,11604,11746,31
18151,"Василь Яніцький","Блок Петра Порошенка",3066,11241,11746,27
18152,"Костянтин Яриніч","Блок Петра Порошенка",3021,9490,11746,32
18153,"Дмитро Ярош","Позафракційні",164,357,11746,46
18161,"Сергій Мельник","Блок Петра Порошенка",2879,11701,11746,25
18163,"Юрій Македон","Блок Петра Порошенка",2816,11296,11746,25
18164,"Андрій Помазанов","Народний фронт",3048,11218,11746,27
18165,"Оксана Корчинська","Радикальна партія Олега Ляшка",2007,8274,11746,24
18166,"Надія Савченко","Позафракційні",1075,3612,11746,30
18167,"Віталій Корчик","Народний фронт",2426,11436,11746,21
18218,"Юрій Чижмарь","Радикальна партія Олега Ляшка",1329,8924,11722,15
18220,"Дмитро Стеценко","Народний фронт",2028,10882,11722,19
18221,"Сергій Драюк","Народний фронт",2354,11516,11722,20
18222,"Олександр Дроздик","Народний фронт",2150,10893,11722,20
18245,"Олександр Романовський","Народний фронт",2168,10504,11718,21
18414,"Олександр Ревега","Блок Петра Порошенка",2033,11009,11699,18
18604,"Юрій Бабій","Народний фронт",2516,10634,11480,24
18605,"Ярослав Лесюк","Блок Петра Порошенка",3061,10816,11480,28
19058,"Андрій Немировський","Блок Петра Порошенка",2665,9524,10437,28
19126,"Любомир Зубач","Позафракційні",1423,8255,21809,17
19404,"Григорій Шверк","Блок Петра Порошенка",3092,9012,9175,34
19405,"Владислав Севрюков","Блок Петра Порошенка",1680,9011,9175,19
19550,"Федір Бендюженко","Народний фронт",1170,4076,4258,29
19622,"Вадим Підберезняк","Народний фронт",964,7456,8060,13
19623,"Тетяна Юзькова","Радикальна партія Олега Ляшка",833,7761,8060,11
19740,"Хвича Мепарішвілі","Народний фронт",1120,6465,6882,17
19857,"Олег Велікін","Блок Петра Порошенка",1942,6622,6882,29
19858,"Максим Саврасов","Блок Петра Порошенка",757,6577,6882,12
19859,"Ярослав Єдаков","Народний фронт",1350,6082,6882,22
20103,"Ірина Констанкевич","Позафракційні",1814,5426,6041,33
20104,"Віктор Шевченко","Позафракційні",1611,5706,6041,28
20105,"Тетяна Ричкова","Блок Петра Порошенка",1039,5754,6041,18
20106,"Сергій Шахов","група ""Воля народу""",1351,5613,6041,24
20107,"Максим Микитась","група ""Воля народу""",771,3874,6041,20
20121,"Владислав Данілін","Народний фронт",1210,5790,5903,21
20287,"Юрій Буглак","Блок Петра Порошенка",1057,3996,4069,26
20536,"Валерія Заружко","Позафракційні",101,264,350,38
